Customer ID,Account Age (Years),Account Type,Previous Fraud History,VIP Customer
C001,5,Savings,No,No
C002,0.5,Checking,No,No
C003,10,Savings and Checking,Yes,Yes
C004,2,Checking,No,No
C005,1,Checking,No,No
C006,3,Savings,No,No
C007,7,Savings,No,No
C008,8,Savings,No,No
C009,2,Checking,No,No
C010,4,Savings,No,No
C011,5,Checking,No,No
C012,6,Savings,No,No
C013,3,Checking,No,No
C014,2,Savings,No,No
C015,1,Savings,No,No
C016,2,Checking,No,No
C017,3,Savings,No,No
C018,4,Checking,No,No
C019,5,Savings,No,No
C020,6,Checking,No,No
C021,3,Savings,No,No
C022,2,Checking,No,No
C023,2,Checking,Yes,No
C024,3,Savings,No,No
C025,4,Checking,No,No
C026,5,Savings,No,No
C027,6,Checking,No,No
C028,7,Savings,No,No
C029,3,Checking,No,No
C030,3,Savings,No,No
