Customer ID,Total Transactions Last 24 Hours,Total Amount Last 24 Hours (USD),Average Transaction Amount (USD),Flagged Transactions
C001,5,$250,$50,No
C002,50,$10,000,$200,Yes
C003,3,$90,$30,No
C004,4,$400,$100,No
C005,35,$7,000,$200,Yes
C006,6,$600,$100,No
C007,2,$100,$50,No
C008,3,$300,$100,No
C009,7,$700,$100,No
C010,5,$250,$50,No
C011,8,$800,$100,No
C012,6,$300,$50,No
C013,10,$500,$50,No
C014,12,$1,200,$100,No
C015,40,$8,000,$200,Yes
C016,4,$400,$100,No
C017,5,$500,$100,No
C018,3,$300,$100,No
C019,6,$600,$100,No
C020,2,$100,$50,No
C021,3,$150,$50,No
C022,4,$200,$50,No
C023,45,$9,500,$211,Yes
C024,5,$500,$100,No
C025,6,$600,$100,No
C026,7,$700,$100,No
C027,8,$800,$100,No
C028,9,$900,$100,No
C029,2,$200,$100,No
C030,25,$2,500,$100,Yes
