Customer ID,Retail,Travel,Electronics,Gambling
C001,70%,5%,10%,0%
C002,10%,50%,30%,5%
C003,60%,10%,20%,0%
C004,80%,5%,5%,0%
C005,15%,60%,15%,5%
C006,50%,10%,20%,0%
C007,70%,5%,10%,0%
C008,80%,5%,5%,0%
C009,65%,10%,15%,0%
C010,70%,5%,10%,0%
C011,75%,5%,5%,0%
C012,60%,5%,20%,0%
C013,55%,10%,15%,0%
C014,80%,5%,5%,0%
C015,20%,50%,20%,5%
C016,75%,5%,10%,0%
C017,70%,10%,10%,0%
C018,65%,10%,15%,0%
C019,60%,5%,20%,0%
C020,70%,5%,10%,0%
C021,80%,5%,5%,0%
C022,75%,5%,5%,0%
C023,15%,70%,10%,0%
C024,65%,10%,15%,0%
C025,70%,5%,10%,0%
C026,80%,5%,5%,0%
C027,60%,10%,20%,0%
C028,75%,5%,10%,0%
C029,70%,10%,10%,0%
C030,85%,5%,5%,0%
